mc_number,company_name,state,decision_date,register_date,is_new_mc,usdot_status,insurance_link,insurance_expiration,safety_rating,physical_address,mailing_address,phone,power_units,drivers,oos_percent_vehicle,oos_percent_driver,oos_percent_hazmat,crash_fatal,crash_injury,crash_tow,crash_total
MC-1103178 -C,JMT MODULAR INC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3416531&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"3646 STEELHEAD RUN DR NE ALBANY, OR   97321","3646 STEELHEAD RUN DR NE ALBANY, OR   97321",(925) 354-2328,4,4,29.4%,5.3%,%,0,0,0,0
MC-1259007 -C,PUNASH INC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3651778&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"6652 HIDDEN CREEK LOOP NE KEIZER, OR   97303","P.O.BOX 13988 SALEM, OR   97309",(503) 406-5909,1,1,0%,0%,%,0,0,0,0
MC-1352703 -C,ONTIME EXPRESS LLC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3779915&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"8235 NE MARTIN LUTHER KING JR BLVD PORTLAND, OR   97211","8235 NE MARTIN LUTHER KING JK PORTLAND, OR   97211",(971) 274-9516,7,11,44.4%,0%,%,0,0,0,0
MC-1484577 -C,DAT TRUCKING LLC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3972109&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"337 SE MALHUER ST BOARDMAN, OR   97818","P O BOX 371 BOARDMAN, OR   97818",(541) 969-7893,1,1,50%,0%,%,0,0,0,0
MC-1534473 -C,MUSEUM ON WHEELS LLC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4050067&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"10595 SE MATHER RD CLACKAMAS, OR   97015","3738 WINDMAKER WAY JACKSONVILLE, FL   32224",,1,1,50%,0%,%,0,0,0,0
MC-1581003 -C,WM EXPRESS DELIVERIES LLC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4129478&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"10400 SE COOK CT UNIT 51 PORTLAND, OR   97222","10400 SE COOK CT UNIT 51 PORTLAND, OR   97222",(503) 757-8974,1,1,0%,0%,%,0,0,0,0
MC-1626465 -C,JSM LOGISTICS LLC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4211641&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"61087 AMBASSADOR DR BEND, OR   97702","61087 AMBASSADOR DR BEND, OR   97702",(541) 419-4446,1,1,100%,0%,%,0,0,0,0
MC-1694927 -C,ROUTEONE HAULING INC,OR,2025-06-30,2025-06-30,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4338664&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"6902 SE LAKE RD STE B100 PORTLAND, OR   97267","5331 S MACADAM AVE S 258 P1129 PORTLAND, OR   97239-3871",(503) 749-5055,1,2,100%,0%,%,0,0,0,0
MC-856506,DARRICK J DIVINE,OR,2025-06-24,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=2475993&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"16117 HWY 101 S #33 BROOKINGS, OR   97415","2370 N BONNEYVIEW REDDING, CA   96003",(541) 821-8292,1,1,0%,0%,%,0,0,0,0
MC-1735651 -C,4T'S TRANSIT LLC,OR,2025-06-03,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4416413&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"4815 SURVEYOR AVE NE SALEM, OR   97305","4815 SURVEYOR AVE NE SALEM, OR   97305-4147",(503) 980-5510,1,1,0%,0%,0%,0,0,0,0
MC-1283967 -C,SPADA LOGISTICS LLC,OR,2025-06-27,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3685974&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"1501 N HAYDEN ISLAND DR UNIT 106 PORTLAND, OR   97217","1501 N HAYDEN ISLAND DR UNIT 106 PORTLAND, OR   97217-8202",(503) 422-3755,2,2,0%,25%,%,0,0,0,0
MC-1416127 -C,HORA FREIGHT LLC,OR,2025-06-27,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3869364&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"14147 SE ALTA VISTA DR HAPPY VALLEY, OR   97086","14147 SE ALTA VISTA DR HAPPY VALLEY, OR   97086",(415) 471-0278,6,6,36.4%,0%,%,0,0,0,0
MC-1429782 -C,RSF INSTALLATIONS LLC,OR,2025-06-27,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3889906&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,Satisfactory,"13196 SW BRIANNE WAY TIGARD, OR   97223","13196 SW BRIANNE WAY TIGARD, OR   97223",(458) 312-3900,7,7,60%,8.3%,%,0,0,0,0
MC-1666564 -C,JANDM TRUCKING INC,OR,2025-06-27,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4285356&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"9874 GOLF CLUB RD SE UNIT 70 STAYTON, OR   97383","9874 GOLF CLUB RD SE UNIT 70 STAYTON, OR   97383-1079",(503) 507-7781,1,1,0%,0%,0%,0,0,0,0
MC-1680371 -C,PALM TRUCKING LLC,OR,2025-06-27,2025-06-27,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4284424&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"78594 PARKSIDE RD BOARDMAN, OR   97818-9670","78594 PARKSIDE RD BOARDMAN, OR   97818-9670",(541) 314-8593,3,4,33.3%,50%,%,0,0,0,0
MC-1729288 -C,MKSDELIVERY LLC,OR,2025-06-10,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4404240&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"16677 NE RUSSELL ST APT 275 PORTLAND, OR   97230","16677 NE RUSSELL ST APT 275 PORTLAND, OR   97230",(503) 405-2693,2,2,0%,0%,0%,0,0,0,0
MC-1729840 -C,TREASURE VALLEY GRAIN LLC,OR,2025-05-09,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4405324&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"255 KING AVE NYSSA, OR   97913","5680 COMMERCIAL ST SE STE 170 SALEM, OR   97306-1256",(208) 472-6198,1,1,0%,0%,0%,0,0,0,0
MC-1737268 -P,C&C CONSTRUCTORS LLC,OR,2025-06-09,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3528714&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"1120 HELICOPTER WAY STE 101 CENTRAL POINT, OR   97502","1120 HELICOPTER WAY STE 101 CENTRAL POINT, OR   97502",(541) 608-7123,3,4,100%,0%,%,0,0,0,0
MC-1737695 -B,ASTIR FREIGHT LLC,OR,2025-06-10,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=4420159&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"12628 NE HASSALO ST PORTLAND, OR   97230","12628 NE HASSALO ST PORTLAND, OR   97230-2317",(971) 344-8679,0,,0%,0%,0%,0,0,0,0
MC-268155 -P,VICKS TRUCKING COMPANY USA LLC,OR,2025-06-26,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=2573325&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"11960 SE VALLEY VIEW TER HAPPY VALLEY, OR   97086","11960 SE VALLEY VIEW TER HAPPY VALLEY, OR   97086",(503) 869-6093,1,1,0%,0%,%,0,0,0,0
MC-1103208 -C,MULHORN CATTLE AND HAY LLC,OR,2025-06-26,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=2984206&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"2360 8TH AVE W VALE, OR   97918","2360 8TH AVE W VALE, OR   97918",(253) 370-3642,1,1,60%,28.6%,%,0,0,0,0
MC-1390403 -C,RENOTECH LLC,OR,2025-06-26,2025-06-26,True,ACTIVE,http://li-public.fmcsa.dot.gov/LIVIEW/pkg_carrquery.prc_carrlist?n_dotno=3831951&s_prefix=MC&n_docketno=&s_legalname=&s_dbaname=&s_state=,N/A,None,"1221 NE 51ST AVE  UNIT 1 HILLSBORO, OR   97124","1221 NE 51ST AVE  UNIT 1 HILLSBORO, OR   97124",(956) 333-4339,3,1,25%,60%,%,0,0,0,0
